Baron Louis Albert Guillain Bacler d'Albe	1793  389.0,545.0
Barthélemy Cabirol	1790  4026.0,5296.0
Bartolomeo Bellano	1480  
Bartolomeo Schedoni	1600  185.0,170.0
Bartolomeo Schedoni	1615  237.0,368.0
Basil Crage	1899  254.0,165.0
Basilio Briccio	1683  219.0,422.0
Bayard	1899  191.0,349.0
Be Am	2000  184.0,648.0
Ben Foster	1914  1064.0,1216.0
Ben Shahn	1930  150.0,10.0
Ben Shahn	1930  80.0,10.0
Ben Shahn	1931  280.0,190.0
Benedetto da Maiano	1495  
Benedetto da Maiano	1499 101.9 
Benjamin Day	1916  283.0,270.0
Benjamin Roth	1885  298.0,237.0
Benjamin Roth	1880  297.0,238.0
Benjamin West	1756  737.0,594.0
Benjamin West	1809  1788.0,2045.0
Benjamin West	1766  356.0,483.0
Benjamin West	1801  502.0,730.0
Benjamin West	1803  1930.0,1384.0
Benjamin West	1793  914.0,711.0
Bep	2000  1295.0,483.0
Bernard Salomon	1605  1626.0,451.0
Bernard Salomon	1605  
Bernard Salomon	1605  2000.0,451.0
Bernard Salomon	1605  2007.0,445.0
Bernardino Capitelli	1639  
Bernardino Lanino	1553  381.0,285.0
Bernardino Poccetti	1609  253.0,345.0
Bi Chang	1899  479.0,452.0
Bifarji	2000 63.5 
Bifarq	2000  5271.0,495.0
Bill Traylor	1945  248.0,356.0
Bill Traylor	1945  279.0,422.0
Bill Traylor	1945  337.0,184.0
Billotey	1895  244.0,457.0
Boris Konstantinovitch Bilinsky	1931  497.0,321.0
Boris Konstantinovitch Bilinsky	1948  508.0,324.0
Boris Konstantinovitch Bilinsky	1939  489.0,322.0
Boris Konstantinovitch Bilinsky	1936  494.0,321.0
Boris Konstantinovitch Bilinsky	1948  521.0,327.0
Boris Konstantinovitch Bilinsky	1930  476.0,313.0
Boris Solotareff	1966  208.0,229.0
Boris Zvorykin	1930  275.0,237.0
Boris Zvorykin	1930  276.0,208.0
Boris Zvorykin	1930  278.0,208.0
Boris Zvorykin	1930  346.0,267.0
Boris Zvorykin	1930  275.0,205.0
Boris Zvorykin	1930  348.0,267.0
Boris Zvorykin	1930  347.0,268.0
Boris Zvorykin	1930  273.0,205.0
Boris Zvorykin	1930  346.0,269.0
Boris Zvorykin	1930  275.0,206.0
Boris Zvorykin	1930  274.0,205.0
Boti	2000 70.5 
Bow Porcelain Factory	1760 17.1 
Bow Porcelain Factory	1763 23.2 
British Painter	1572  1045.0,800.0
Bruce Crane	1908  686.0,1041.0
Bruce Crane	1937  276.0,475.0
Bryson Burroughs	1930  1295.0,1065.0
Bryson Burroughs	1896  548.0,308.0
Bryson Burroughs	1934  295.0,451.0
Bryson Burroughs	1934  316.0,216.0
Bryson Burroughs	1915  764.0,911.2
Bryyinyuwuy	2000  305.0,508.0
C. Hallifax	1788 5.4 
Callimo	1900  248.0,457.0
Camille Pissarro	1888  379.0,315.0
Camille-Auguste Gastine	1867  445.0,196.0
Camille-Auguste Gastine	1867  452.0,161.0
Camillo Procaccini	1609  460.0,311.0
Camillo Procaccini	1629  168.0,247.0
Carducius Plantagenet Ream	1917  457.0,610.0
Carducius Plantagenet Ream	1917  305.0,254.0
Carducius Plantagenet Ream	1917  356.0,244.0
