A&E Design Hans Ehrich Tom Ahlström	1993  870.0,370.0
Various Artists Jean (Hans) Arp Camille Bryen Georges Braque Marc Chagall Oscar Domínguez Serge (Comte Serge Jastrebzoff) Férat Alberto Giacometti Albert Gleizes Raoul Hausmann Henri Laurens Fernand Léger Alberto Magnelli André Masson Henri Matisse Jean Metzinger Joan Miró Pablo Picasso Léopold Survage Sophie Taeuber-Arp Edgard Tytgat Jacques Villon	1949  350.0,278.0
Various Artists Jean (Hans) Arp Giacomo Balla Robert Delaunay Sonia Delaunay-Terk Albert Gleizes Auguste Herbin Vasily Kandinsky Paul Klee František Kupka Fernand Léger Alberto Magnelli Piet Mondrian Francis Picabia Sophie Taeuber-Arp Theo van Doesburg Jacques Villon	1953  640.0,490.0
Various Artists Jean (Hans) Arp Hans Bellmer Camille Bryen Oscar Domínguez Max Ernst Alberto Giacometti Stanley William Hayter Valentine Hugo Wifredo Lam André Masson Joan Miró	1957  250.0,210.0
Various Artists Jean (Hans) Arp Hans Bellmer Victor Brauner Serge Brignoni Alexander Calder Bruno Capacci Julio de Diego Enrico Donati Marcel Duchamp Max Ernst David Hare Jacques Hérold Marcel Jean Wifredo Lam Jacqueline Lamba Maria Martins Roberto Matta Joan Miró Man Ray (Emmanuel Radnitzky) Kay Sage Yves Tanguy Dorothea Tanning Toyen (Marie Čermínová) Suzanne van Damme	1947  256.0,223.0
Various Artists Jean (Hans) Arp Max Bill Sonia Delaunay-Terk César Domela-Nieuwenhuis Vasily Kandinsky Léo Leuppi Richard Paul Lohse Alberto Magnelli Sophie Taeuber-Arp Georges Vantongerloo	1942  275.0,214.0
Various Artists Jeremy Deller Wael Shawky Dayanita Singh Rosemarie Trockel	2014  254.0,213.0
Various Artists Jim Dine Robert Dowd Joe Goode Phillip Hefferton Edward Ruscha	1962  280.0,216.0
Various Artists Joe Zucker Tom Wesselmann Don Nice Agnes Martin Sylvia Plimack Mangold Robert Mangold Sol LeWitt Chuck Close Daniel Buren Richard Artschwager Myron Stout Barry Le Va Carl Andre	1976 compositions (see child records): dimensions vary; sheet (see child records): dimensions vary
Various Artists Johanna Calle Matías Duville Maria Laet Mateo López Nicolás Paris Rosângela Rennó Christian Vinck Henriquez	2015  340.0,620.0
Various Artists Johanna Calle Matías Duville Maria Laet Mateo López Nicolás Paris Rosângela Rennó Christian Vinck Henriquez	2015  360.0,620.0
Various Artists John Baldessari Jonathan Borofsky Frank O. Gehry Ann Hamilton Jasper Johns Ellsworth Kelly Brice Marden Julie Mehretu Ken Price Susan Rothenberg Edward Ruscha Richard Serra Richard Tuttle Frank Shepard Fairey	2008 composition (see child records): dimensions vary; sheet (see child records): dimensions vary
Various Artists John Buckland-Wright Stanley William Hayter Joseph Hecht Dalla Husband Vasily Kandinsky Roderick Mead Joan Miró Dolf Rieser Luis Vargas Rosas	1939  241.0,176.0
Various Artists Josef Albers Aleksandr Archipenko Carl Buchheister Serge Charchoune Sonia Delaunay-Terk Farfa Jean Fautrier Natalia Goncharova Raoul Hausmann Marcel Janco Joseph Lacasse Mikhail Larionov Stanton Macdonald-Wright Alberto Magnelli Emilio Pettoruti Alfred Reth Hans Richter Victor Servranckx Gino Severini Georges Vantongerloo	1961  306.0,246.0
Various Artists Joseph Beuys K. P. Brehmer Bazon Brock Hans Joachim Dietrich Rainer (Imi) Giese K. H. Hödicke Imi Knoebel Bernd Lohaus Konrad Lueg Blinky Palermo Sigmar Polke Gerhard Richter Dieter Roth Gerhard Rühm Reiner Ruthenbeck Tomas Schmit Wolf Vostell Stefan Wewerka Lambert Maria Wintersberger	1962  1145.0,457.0
Various Artists Joseph Beuys K. P. Brehmer K. H. Hödicke Peter Hutchinson Arthur Köpcke Sigmar Polke Wolf Vostell	1970  495.0,647.0
Various Artists Joseph Beuys René Block Claus Bremer Henning Christiansen Hans Joachim Dietrich Ludwig Gosewitz Dick Higgins Bernhard Höke Allan Kaprow Franz Mon Benjamin Patterson Eckart Rahn Gerhard Rühm Vagelis Tsakiridis Ben Vautier Wolf Vostell ZAJ	1966  295.0,220.0
Various Artists Julien Blaine Henri Chopin François Dufrêne Gil J Wolman	1967  270.0,210.0
Various Artists K. P. Brehmer K. H. Hödicke Konrad Lueg Sigmar Polke Gerhard Richter Wolf Vostell	1971  215.0,245.0
Various Artists Karl Schmidt-Rottluff Gerhard von Ruckteschell Karl Opfermann Heinrich Stegemann Lasar Segall Robert Koepke Willi Titze Siegfried Schott Franz Radziwill	1921  418.0,323.0
Various Artists Karl Schmidt-Rottluff Walter Ruttmann Gottfried Graf	1920  220.0,170.0
Various Artists Kazimir Malevich Olga Rozanova	1914  180.0,137.0
Various Artists Kazimir Malevich Olga Rozanova	1913  179.0,132.0
Various Artists Kazimir Malevich Olga Rozanova	1913  179.0,124.0
Various Artists Kazimir Malevich Olga Rozanova	1913  179.0,126.0
Various Artists Kazimir Malevich Olga Rozanova	1913  178.0,124.0
Various Artists Kazimir Malevich Olga Rozanova	1913  170.0,126.0
Various Artists Kazimir Malevich Olga Rozanova	1913  177.0,124.0
Various Artists Kazimir Malevich Olga Rozanova	1913  175.0,124.0
Various Artists Kazimir Malevich Olga Rozanova	1913  178.0,123.0
Various Artists Kazimir Malevich Olga Rozanova	1913  174.0,125.0
Various Artists Kazimir Malevich Olga Rozanova	1913  171.0,122.0
Various Artists Ken Friedman James Riddle Ben Vautier Robert Watts	1968  179.0,135.0
Various Artists Kerstin Brätsch Ernst Caramelle Paul Chan Silke Otto-Knapp Sturtevant Andro Wekua	2011  254.0,212.0
Various Artists Kirill Zdanevich Vasilii Kamenskii	1917  230.0,343.0
Various Artists Kseniia Boguslavskaia Vladimir Kozlinskii Sergei Makletsov Jean Pougny (Ivan Puni)	1918  334.0,239.0
Various Artists Kseniia Boguslavskaia Vladimir Kozlinskii Sergei Makletsov Jean Pougny (Ivan Puni)	1918  335.0,240.0
Various Artists Lawrence Weiner Robert Morris Joseph Kosuth Douglas Huebler Robert Barry Sol LeWitt Carl Andre	1968  270.0,212.0
Various Artists Lee Bontecou Chryssa Allan D'Arcangelo Sam Francis Claes Oldenburg Larry Rivers	1967 composition (see child records): dimensions vary; sheet (see child records): dimensions vary
Various Artists Lee Bontecou Robert Breer John Chamberlain Walter De Maria Mark di Suvero Jim Dine Öyvind Fahlström Dan Flavin Red Grooms Hans Haacke Alex Hay Donald Judd Ellsworth Kelly Roy Lichtenstein Sol LeWitt Robert Morris Louise Nevelson Kenneth Noland Claes Oldenburg Nam June Paik Robert Rauschenberg Robert Whitman James Rosenquist George Segal Richard Serra Keith Sonnier Richard Stankiewicz Cy Twombly Andy Warhol	1973  305.0,229.0
Various Artists Louis-Auguste Girardot Louis Malteste Émile-René Ménard Maurice Réalier-Dumas	1897  407.0,307.0
Various Artists M. Andreevskaia D. Fedorov Illarion Pleshchinskii N. S. Shikalov Vera Vil'koviskaia	1921  207.0,171.0
Various Artists Marc Camille Chaimowicz Pamela Rosenkranz John Waters Xu Zhen	2015  254.0,213.0
Various Artists Marcel Duchamp Jasper Johns	1966  330.0,255.0
Various Artists Marcello Muccini Graziella Urbinati Renzo Vespignani	1947  350.0,497.0
Various Artists Marie Laurencin Jean Cocteau Francis Poulenc	1924  280.0,225.0
Various Artists Marie Laurencin Jean Cocteau Francis Poulenc	1924  286.0,230.0
Various Artists Mark Bradford Ernst Caramelle Karl Holmqvist Oscar Tuazon Charline von Heyl Haegue Yang	2011  254.0,212.0
Various Artists Markus Raetz Robert Mapplethorpe	1986  250.0,203.0
Various Artists Matthew Abbott Nicole Eisenman Ava Gerber Sean Mellyn Jonathan Seliger	1997  508.0,381.0
Various Artists Max Bill Serge Brignoni Hans Erni Hans Fischli Hans Hinterreiter Max Huber Léo Leuppi Richard Paul Lohse Vreni Löwensberg Sophie Taeuber-Arp	1941  326.0,320.0
Various Artists Max Ernst Joan Miró Yves Tanguy	1947  140.0,112.0
Various Artists Max Ernst Joan Miró Yves Tanguy	1947  140.0,110.0
Various Artists Max Ernst Stanley William Hayter Wifredo Lam Roberto Matta Joan Miró Kurt Seligmann Yves Tanguy	1947  420.0,330.0
Various Artists Max Unold Richard Seewald Adolf Ferdinand Schinnerer Edwin Scharff Paul Klee Rudolf Grossmann Josef Eberg Karl Caspar Walther Teutsch Heinrich Campendonk Alfred Kubin Hans Gött René Beeh	1919  286.0,230.0
Various Artists Mel Bochner Christo Jan Dibbets Tom Gormley Dan Graham Douglas Huebler Allan Kaprow Michael Kirby Joseph Kosuth Sol LeWitt Richard Long Robert Morris Bruce Nauman Dennis Oppenheim Robert Rauschenberg Edward Ruscha Robert Smithson Bernar Venet Andy Warhol	1965  93.0,332.0
Various Artists Mel Bochner Christo Jan Dibbets Tom Gormley Dan Graham Douglas Huebler Allan Kaprow Michael Kirby Joseph Kosuth Sol LeWitt Richard Long Robert Morris Bruce Nauman Dennis Oppenheim Robert Rauschenberg Edward Ruscha Robert Smithson Bernar Venet Andy Warhol	1965  337.0,337.0
Various Artists Nairy Baghramian Sophie Calle Maurizio Cattelan Marlene Dumas Katharina Fritsch Katharina Grosse Marilyn Minter Jean-Luc Mylayne Nicolas Party Pipilotti Rist Jordan Wolfson	2017  255.0,213.0
Various Artists Nancy Spero Ross Bleckner Mike Kelley Simon Leung Louise Bourgeois Kiki Smith Lorna Simpson	1993  130.0,609.0
Various Artists Natalia Goncharova Mikhail Larionov Nikolai Rogovin Vladimir Tatlin	1912  188.0,154.0
Various Artists Natalia Goncharova Mikhail Larionov Nikolai Rogovin Vladimir Tatlin	1912  190.0,154.0
Various Artists Natalia Goncharova Mikhail Larionov Nikolai Rogovin Vladimir Tatlin	1912  190.0,132.0
Various Artists Natalia Goncharova Mikhail Larionov Nikolai Rogovin Vladimir Tatlin	1912  189.0,147.0
Various Artists Natan Al'tman Natalia Goncharova Aleksei Kruchenykh Nikolai Kul'bin Kazimir Malevich Olga Rozanova	1913  175.0,180.0
Various Artists Natan Al'tman Natalia Goncharova Nikolai Kul'bin Kazimir Malevich Olga Rozanova	1913  174.0,116.0
Various Artists Natan Al'tman Natalia Goncharova Nikolai Kul'bin Kazimir Malevich Olga Rozanova	1913  177.0,123.0
Various Artists Natan Al'tman Natalia Goncharova Nikolai Kul'bin Kazimir Malevich Olga Rozanova	1913  177.0,115.0
Various Artists Natan Al'tman Natalia Goncharova Nikolai Kul'bin Kazimir Malevich Olga Rozanova	1913  174.0,117.0
Various Artists Natan Al'tman Natalia Goncharova Nikolai Kul'bin Kazimir Malevich Olga Rozanova	1913  175.0,117.0
Various Artists Nell Blaine Norman Bluhm Joe Brainard John Button Giorgio Cavallon Allan D'Arcangelo Elaine de Kooning Willem de Kooning Helen Frankenthaler Jane Freilicher Michael Goldberg Philip Guston Grace Hartigan Al Held Jasper Johns Alex Katz Matsumi Kanemitsu Lee Krasner Alfred Leslie Roy Lichtenstein Marisol (Marisol Escobar) Joan Mitchell Robert Motherwell Reuben Nakian Barnett Newman Claes Oldenburg Robert Rauschenberg Jane Wilson Niki de Saint Phalle	1967  304.0,228.0
Various Artists Nell Blaine Norman Bluhm Joe Brainard John Button Giorgio Cavallon Allan D'Arcangelo Helen Frankenthaler Jane Freilicher Michael Goldberg Philip Guston Grace Hartigan Al Held Jasper Johns Matsumi Kanemitsu Alex Katz Elaine de Kooning Willem de Kooning Lee Krasner Alfred Leslie Roy Lichtenstein Marisol (Marisol Escobar) Joan Mitchell Robert Motherwell Reuben Nakian Barnett Newman Claes Oldenburg Robert Rauschenberg Larry Rivers Niki de Saint Phalle Jane Wilson	1967  340.0,245.0
Various Artists Olaf Breuning Dan Perjovschi Richard Phillips Pipilotti Rist Keith Tyson	2004  256.0,211.0
Various Artists Paul Balluriau G. de Latenay Marcel Lenoir Louis Rhead	1897  407.0,305.0
Various Artists Paul Klee Max Beckmann Karl Caspar Conrad Felixmüller Erich Heckel René Beeh Heinrich Campendonk Lovis Corinth August Gaul Ernst Barlach George Grosz Max Unold Käthe Kollwitz Alfred Kubin Max Liebermann Ludwig Meidner Otto Mueller Max Pechstein Adolf Ferdinand Schinnerer Karl Schmidt-Rottluff Richard Seewald Rudolf Grossmann Lyonel Feininger	1920  330.0,245.0
Various Artists Paul Sharits Bob Grimes Greg Sharits David Thompson	1966  135.0,180.0
Various Artists Pedro Alcantara Santiago Cárdenas Rafael Coronel Francisco Corzas Roberto Donis Helen Escobedo Manuel Espinoza Fernando Garcia Ponce Anibal Gil Enrique Grau Luis Guevara Moreno Phanor Leon Luis López Loza Emilio Ortiz Alejandro Otero Alirio Palacios Mercedes Pardo Juan Antonio Roda Vicente Rojo Francisco Toledo Luisa Zuloaga de Palacios	1972  564.0,758.0
Various Artists Pierre Alechinsky Fred Becker Letterio Calapai Willem de Kooning Peter Grippe Salvatore Grippi Stanley William Hayter Franz Kline Jacques Lipchitz Ezio Martinelli Ben Nicholson Irene Rice Pereira Helen Phillips André Racz Kurt Roesch Attilio Salemme Louis Schanker Karl Schrag Esteban Vicente Adja Yunkers	1951  500.0,428.0
Various Artists Pierre Alechinsky Karel Appel Enrico Baj Alan Davie Jim Dine Öyvind Fahlström Sam Francis Robert Indiana Alfred Jensen Asger Jorn Allan Kaprow Kiki (Kiki O. K.) Kogelnik Alfred Leslie Roy Lichtenstein Joan Mitchell Claes Oldenburg Mel Ramos Robert Rauschenberg Jean-Paul Riopelle James Rosenquist Antonio Saura Kimber Smith K.R.H. Sonderborg Walasse Ting Bram van Velde Andy Warhol Tom Wesselmann	1964  410.0,290.0
Various Artists Pierre Bonnard Edmond Ceria Jean Gabriel Daragnès Hermine David Maurice de Vlaminck Henry de Waroquier André Dunoyer de Segonzac Pierre Falké Tsugouharu Foujita Chas Laborde Marie Laurencin Albert Marquet Charles Martin Henri Matisse Luc-Albert Moreau Jean Oberlé Jules Pascin Georges Rouault Maurice Utrillo Kees van Dongen	1925  320.0,250.0
Various Artists Rebecca Horn Sigmar Polke	1987  250.0,204.0
Various Artists Richard Anuszkiewicz Helen Frankenthaler Nicholas Krushenick Roy Lichtenstein George Segal	1968  914.0,914.0
Various Artists Richard Avedon Jim Dine Jane Freilicher Alex Katz R. B. Kitaj Willem de Kooning Elaine de Kooning Larry Rivers	1984 a45.5 ) 
Various Artists Rimma Gerlovina Valery Gerlovin Michael Chernyshov Henry Khudyakov Vagrich Bakhchanyan	1986  220.0,152.0
Various Artists Robert Atkins Perry Bard Jo Babcock Roger Boyce Lee Roy Champagne Vincent Desiderio Nancy Evans Tom Finkelpearl Karen Finley Jeff Goodman David Hammons C K Kuebel Dona Ann McAdams Tom Sarrantonio Lori Seid Janice Yudell John Zax	1986  279.0,229.0
Various Artists Roberto Altmann Antonio Berni Jan Burka Henri Chopin Ian Hamilton Finlay John Furnival Paul-Armand Gette Bernard Heidsieck Dom Sylvester Houédard Edwin Morgan Claude Pélieu Françoise Saint-Thibault John Sharkey	1964  270.0,260.0
Various Artists Saul Steinberg Henry Pearson Robert Motherwell Richard Lindner Roy Lichtenstein Willem de Kooning Ellsworth Kelly Sam Francis Louise Nevelson	1966  435.0,560.0
Various Artists Serge Béguier Gianni Bertini Henri Chopin François Dufrêne Dora Feilane Ian Hamilton Finlay Paul-Armand Gette John Giorno Brion Gysin Bernard Heidsieck Alain Jouffroy Rodolfo Krasno Jean-Clarence Lambert Jean-Jacques Lévêque Gabriel Paris Laura Sheleen	1965  270.0,260.0
Various Artists Stanley William Hayter Jasper Johns Ellsworth Kelly Alexander Liberman Roy Lichtenstein André Masson Robert Motherwell Claes Oldenburg Robert Rauschenberg Saul Steinberg Frank Stella Andy Warhol	1973 composition (see child records): dimensions vary; sheet (see child records): dimensions vary
Various Artists Tom Gormley Red Grooms Marisol (Marisol Escobar) Robert Rauschenberg Andy Warhol Robert Whitman	1971  705.0,560.0
Various Artists Tom Wesselmann George Segal Claes Oldenburg Roy Lichtenstein Mon Levinson Robert Kulicke Nicholas Krushenick Helen Frankenthaler Jim Dine Richard Anuszkiewicz	1964 composition (see child records): dimensions vary; sheet (see child records): dimensions vary
Various Artists Tomma Abts Zoe Leonard Paulina Olowska Mai-Thu Perret John Stezaker	2009  255.0,210.0
Various Artists Valentin Carron Adrián Villar Rojas Frances Stark Danh Vo	2013  254.0,213.0
Various Artists Vasilii Chekrygin Vladimir Mayakovsky Lev Shekhtel [Lev Zhegin]	1913  239.0,176.0
Various Artists Vasilii Kamenskii Aleksei Kruchenykh Kirill Zdanevich	1917  230.0,343.0
Various Artists Vasilii Kamenskii Kirill Zdanevich	1917  240.0,380.0
Various Artists Vasilii Kamenskii Kirill Zdanevich	1917  230.0,343.0
Various Artists Vasilii Kamenskii Kirill Zdanevich	1917  242.0,370.0
Various Artists Vasily Kandinsky Franz Marc	1912  290.0,222.0
Various Artists Viktor Bart Natalia Goncharova Mikhail Larionov Aleksandr Shevchenko Illarion Skuie Anonymous Child	1913  165.0,119.0
Various Artists Vladimir Burliuk Pavel Filonov Aleksei Kruchenykh Il'ia Rogovin	1919  165.0,148.0
Various Artists Wallace Berman Robert Alexander Charles Brittin Cameron Jean Cocteau Marion Grogan Hermann Hesse Walter Hopps David Meltzer	1955  197.0,102.0
Various Artists Walther Klemm Ernst Barlach Erich Heckel Max Liebermann August Gaul Willy Jaeckel Josef Bato Ernst Ludwig Kirchner Heinrich Zille Oskar Kokoschka Käthe Kollwitz Otto Mueller Max Slevogt Ottomar Starke Wilhelm Wagner Leopold von Kalckreuth Rudolf Grossmann	1916  13.0,362.0
Various Artists Werner Drewes Rosalind Bengelsdorf Ilya Bolotowsky Harry Bowden Byron Browne Giorgio Cavallon Arthur N. Christie Herzl Emanuel Balcomb Greene Gertrude Greene Hananiah Harari Carl Holty Ray Eames Paul Kelpe M. Kennedy Ibram Lassaw Agnes Lyall George McNeil Alice Trumbull Mason George L. K. Morris John Opper Ralph M. Rosenborg Louis Schanker Charles G. Shaw Esphyr Slobodkina Albert Swinden Rupert D. Turnbull Vaclav Vytlacil Fredrick J. Whiteman Wilfred M. Zogbaum	1937  235.0,304.0
Various Artists William Anthony Wall Batterton Congo (a Chimpanzee) Edward Fitzgerald Neil Jenney Angus MacLise Bruce Nauman Yoko Ono Mel Ramos Robert Rohm William Schwedler Diane Wakaski Lawrence Weiner	1968  280.0,178.0
Various Artists Yto Barrada Ernst Caramelle Nicole Eisenman Nick Relph Monika Sosnowska Liu Xiaodong	2012  254.0,212.0
Various Artists Yves Alix Mariano Andreù Maurice Barraud Jean Berque Berthold-Mahn (Charles Désiré) Rodolphe-Théophile Bosshard Jean-Louis Boussingault Pierre Eugène Clairin Jean Gabriel Daragnès Odette des Garets Raoul Dufy André Dunoyer de Segonzac Edouard-Léon-Louis Edy-Legrand Wilhelm Gimmi Kiyoshi Hasegawa Raymonde Heudebert Jean Launois Marie Laurencin Alfred Lombard Mariette Lydis André Mare Luc-Albert Moreau René Piot Valdo-Barbey (Valdo-Luis Barbey) Paul Véra	1930  290.0,225.0
Various Artists Yves Tanguy Pablo Picasso Joan Miró André Masson Dalla Husband Stanley William Hayter John Buckland-Wright	1938  164.0,225.0
Various Artists Édouard Vuillard Ker-Xavier Roussel Henri Matisse Aristide Maillol Maurice Denis Paul Cézanne Pierre Bonnard	1914  380.0,290.0
Various Artists Émile Berchmans Armand Berton Georges de Feure Alphonse Mucha	1897  408.0,307.0
Varvara Rodchenko	1965  178.0,140.0
Varvara Rodchenko	1988  213.0,138.0
Varvara Rodchenko	1971  164.0,128.0
Varvara Rodchenko	1974  218.0,136.0
Varvara Rodchenko	1971  165.0,135.0
Varvara Rodchenko	1967  171.0,140.0
Varvara Rodchenko	1966  211.0,166.0
Varvara Rodchenko	1980  208.0,442.0
Varvara Rodchenko Nikolai Lavrent'ev	1973  213.0,148.0
Varvara Rodchenko Nikolai Lavrent'ev	1973  198.0,120.0
Varvara Rodchenko Varvara Stepanova	1957  282.0,220.0
Varvara Stepanova	1919  275.0,174.0
Varvara Stepanova	1930  295.0,213.0
Varvara Stepanova	1932  240.0,89.0
Varvara Stepanova	1919  275.0,171.0
Varvara Stepanova	1929  302.0,236.0
Varvara Stepanova	1932  238.0,204.0
Varvara Stepanova	1929  302.0,228.0
Varvara Stepanova	1934  296.0,223.0
Varvara Stepanova	1922  191.0,143.0
Varvara Stepanova	1932  238.0,89.0
Varvara Stepanova	1932  239.0,204.0
Varvara Stepanova	1918  229.0,183.0
Varvara Stepanova	1919  127.0,167.0
Varvara Stepanova	1929  251.0,176.0
Varvara Stepanova	1933  302.0,225.0
Varvara Stepanova	1922  189.0,145.0
Varvara Stepanova	1922  188.0,145.0
Varvara Stepanova	1920  197.0,127.0
Varvara Stepanova	1920  131.0,159.0
Varvara Stepanova John Heartfield (born Helmut Herzfeld)	1930  194.0,143.0
Vasilii Chekrygin Nikolai Chernyshev Sergei Gerasimov Vera Pestel Sergei Romanovich Aleksandr Shevchenko	1922  315.0,245.0
Vasilii Kamenskii	1914  201.0,192.0
Vasilii Kamenskii	1917  189.0,135.0
Vasilii Kamenskii	1917  230.0,343.0
Vasilii Kamenskii	1914  195.0,187.0
Vasily Ermilov	1962  219.0,161.0
Vasily Ermilov Anatol' Petryts'kyi	1929  237.0,178.0
Vasily Ermilov Vladimir Mayakovsky Velimir Khlebnikov Ivan Kliun Kirill Zdanevich Igor' Terent'ev Natalia Goncharova Valentin Kataev	1928  162.0,201.0
Vasily Ermilov Vladimir Mayakovsky Velimir Khlebnikov Ivan Kliun Kirill Zdanevich Igor' Terent'ev Natalia Goncharova Valentin Kataev	1928  293.0,210.0
Vasily Kandinsky	1913  281.0,277.0
Vasily Kandinsky	1911  338.0,234.0
Vasily Kandinsky	1922  300.0,268.0
Vasily Kandinsky	1922  310.0,206.0
Vasily Kandinsky	1922  303.0,268.0
Vasily Kandinsky	1949  240.0,205.0
Vasily Kandinsky	1908  242.0,239.0
Vasily Kandinsky	1939  225.0,165.0
Vasily Kandinsky	1930  319.0,262.0
Vasily Kandinsky	1919  346.0,245.0
Vasily Kandinsky	1911  210.0,180.0
Vasily Kandinsky	1942  270.0,210.0
Vasily Kandinsky	1932  331.0,409.0
Vasily Kandinsky	1926  268.0,182.0
Vasily Kandinsky	1923  480.0,442.0
Vasily Kandinsky	1923  343.0,271.0
Vasily Kandinsky	1903  372.0,190.0
Vasily Kandinsky	1934  316.0,249.0
Vasily Kandinsky	1903  329.0,249.0
Vasily Kandinsky	1901  496.0,672.0
Vasily Kandinsky	1913  285.0,285.0
Vasily Kandinsky	1913 a27.7 ) 
Vasily Kandinsky	1912  287.0,213.0
Vasily Kandinsky	1918  130.0,122.0
Vasily Kandinsky	1909  324.0,324.0
Vasily Kandinsky	1909  320.0,320.0
Vasyl' Kasiian	1935  255.0,172.0
Vasyl' Krychevs'kyi	1913  198.0,120.0
Vera Aleksandrova	1922  325.0,260.0
Vera Berdich	1962  481.0,574.0
Vera Bocayuva Mindlin	1955  349.0,248.0
Vera Bocayuva Mindlin	1960  500.0,652.0
Vera Ermolaeva	1918  208.0,150.0
Vera Ermolaeva	1920  168.0,202.0
Vera Ermolaeva	1918  208.0,152.0
Vera Ermolaeva	1918  202.0,151.0
Vera Ermolaeva	1918  203.0,152.0
Vera Ermolaeva	1920  195.0,228.0
Vera Ermolaeva	1918  207.0,152.0
Vera Ermolaeva	1930  226.0,191.0
Vera Ermolaeva	1929  275.0,211.0
Vera Ermolaeva	1930  193.0,148.0
Vera Ermolaeva	1918  208.0,151.0
Vera Ermolaeva	1918  404.0,301.0
Vera Ermolaeva	1918  202.0,149.0
Vera Klement	1953  680.0,520.0
Vera Matiukh	1960  613.0,470.0
Vereinigte Werkstätten für Kunst im Handwerk Munich	1932  195.0,300.0
Vernon P. Steele	1945 a . 163.5 . 57.8 ) 
Vicente Rojo	1972  754.0,552.0
Vico Magistretti	1980  314.0,19.0
Vico Magistretti	1977 a20.3 ) 
Vico Magistretti	1983 a41 ) 
Vico Magistretti	1973 a43.2 ) 
Victor Brauner	1947  239.0,204.0
Victor Delhez	1958  502.0,384.0
Victor Pasmore	1964  545.0,842.0
Victor Servranckx	1962  298.0,240.0
Victor Vasarely	1964  648.0,618.0
Victor Vasarely	1973  750.0,560.0
Victor Vasarely	1965  444.0,416.0
Victor Vasarely	1959  509.0,661.0
Victor Vasarely	1964  648.0,619.0
Victor Vasarely	1967  190.0,140.0
Victor Vasarely	1967  380.0,280.0
Victor Vasarely Gorgona artists group	1961  210.0,192.0
Vija Celmins	1983  608.0,493.0
Vija Celmins	2016  540.0,480.0
Vija Celmins	2005  267.0,178.0
Vija Celmins	1990  376.0,275.0
Vija Celmins	1985  457.0,568.0
Vija Celmins	2001  460.0,376.0
Vija Celmins	1965  57.0,187.0
Vija Celmins	1983  661.0,510.0
Vija Celmins	1983  750.0,896.0
Vija Celmins	1983  693.0,585.0
Vija Celmins	1983  595.0,472.0
Vija Celmins	1995  420.0,355.0
Vija Celmins	2010  667.0,908.0
Vija Celmins	2009  643.0,481.0
Vija Celmins	2005  267.0,674.0
Vija Celmins	2005  267.0,177.0
Vija Celmins	2005  267.0,633.0
Vija Celmins	2005  337.0,405.0
Vija Celmins	1992  490.0,392.0
Vija Celmins	1971  571.0,735.0
Vija Celmins	2016  1050.0,910.0
Vik Muniz	2000  307.0,114.0
Vik Muniz	2000  271.0,175.0
Vik Muniz	2000  257.0,106.0
Vik Muniz	2000  327.0,152.0
Vik Muniz	2000  308.0,133.0
Vik Muniz	2000  236.0,152.0
Viktor Nikolaevich Deni	1927  180.0,135.0
Vilhelm Tveteraas	1952  537.0,687.0
Vincent Canadé	1927  403.0,288.0
Vincent Canadé	1927  403.0,293.0
Vincent Desiderio	1986  280.0,216.0
Vincent Leow	2000  470.0,315.0
Vincent Longo	1997  325.0,250.0
Vincent Smith	1974  565.0,762.0
Vincent Smith	1965  550.0,378.0
Vincent de Rijk	1986 a25.4 ) 
Vincent van Gogh	1885  313.0,400.0
Vincent van Gogh	1882  467.0,371.0
Virginia Overton	2011  663.0,501.0
Vita Castro	1962  508.0,401.0
Vito Acconci	1969  270.0,270.0
Vito Acconci	1990  457.0,3658.0
Vito Acconci	1979  737.0,1042.0
Vito Acconci	1984  508.0,642.0
Vito Acconci	1979  654.0,1021.0
Vito Acconci	1977  770.0,610.0
Vito Acconci	1983  210.0,184.0
Vito Acconci	1977  770.0,616.0
Vito Acconci	1977  767.0,603.0
Vito Acconci	1990  2210.0,2400.0
Vito Acconci	1977  775.0,610.0
Vito Acconci	1977  768.0,587.0
Vito Acconci	1977  769.0,611.0
Vito Acconci	1977  768.0,616.0
Vito Acconci	1969  270.0,356.0
Vito Acconci	1977  779.0,632.0
Vito Acconci	1977  771.0,603.0
Vito Acconci	1977  775.0,615.0
Vito Acconci	1983  220.0,186.0
Vito Acconci	1969  216.0,448.0
Vito Acconci	1983  220.0,187.0
Vito Acconci	1977  775.0,611.0
Vito Acconci	1969  191.0,546.0
Vito Acconci	1971  251.0,200.0
Vivian Browne	1974  764.0,565.0
Vladimir Izenberg	1926  278.0,220.0
Vladimir Kozlinskii	1918  334.0,239.0
Vladimir Lebedev	1925  277.0,217.0
Vladimir Lebedev	1926  190.0,150.0
Vladimir Lebedev	1932  116.0,144.0
Vladimir Lebedev	1923  33.0,194.0
Vladimir Lebedev	1925  280.0,213.0
Vladimir Lebedev	1925  278.0,222.0
Vladimir Mayakovsky	1914  579.0,400.0
Vladimir Mayakovsky	1918  271.0,198.0
Vladimir Mayakovsky	1918  273.0,205.0
Vladimir Mayakovsky	1923  170.0,128.0
Vladimir Mayakovsky	1936  191.0,120.0
Vladimir Michailovich Konashevich	1944  352.0,262.0
Vladimir Tatlin	1915  373.0,538.0
Volker Hüller	2013  1318.0,1885.0
Volkmar Haase	1958  637.0,475.0
Vreni Löwensberg	1941  319.0,299.0
Vukile Teyise	2000  455.0,595.0
