A&E Design Hans Ehrich Tom Ahlström	1993  870.0,370.0
Aleksandra Mir	2007  210.0,298.0
Aleksandra Mir	1999  290.0,445.0
Aleksandra Mir	2002  420.0,590.0
Aleksandra Mir	2004  296.0,210.0
Aleksandra Mir	2003  180.0,140.0
Aleksandra Mir	2004  200.0,141.0
Aleksei Gan	1927  301.0,238.0
Aleksei Gan	1928  303.0,229.0
Aleksei Gan	1928  300.0,230.0
Aleksei Gan	1926  303.0,232.0
Aleksei Gan	1926  301.0,230.0
Aleksei Gan	1927  343.0,241.0
Aleksei Gan	1923  223.0,181.0
Aleksei Gan	1926  306.0,232.0
Aleksei Gan	1928  306.0,230.0
Aleksei Gan	1927  300.0,231.0
Aleksei Gan	1927  302.0,231.0
Aleksei Gan	1926  343.0,240.0
Aleksei Gan Ivan Leonidov	1927  305.0,232.0
Aleksei Gan Ivan Leonidov	1928  305.0,235.0
Aleksei Gan Unknown Artist	1930  248.0,177.0
Aleksei Kravchenko	1928  225.0,305.0
Aleksei Kravchenko	1926  297.0,213.0
Aleksei Kruchenykh	1917  230.0,343.0
Aleksei Kruchenykh	1920  230.0,183.0
Aleksei Kruchenykh	1920  227.0,183.0
Aleksei Kruchenykh	1918  162.0,105.0
Aleksei Kruchenykh	1918  164.0,112.0
Aleksei Kruchenykh	1918  156.0,106.0
Aleksei Kruchenykh	1917  153.0,112.0
Aleksei Kruchenykh	1913  171.0,110.0
Aleksei Kruchenykh	1913  170.0,112.0
Aleksei Kruchenykh	1913  170.0,108.0
Aleksei Kruchenykh	1913  170.0,111.0
Aleksei Kruchenykh	1913  171.0,111.0
Aleksei Kruchenykh	1913  172.0,110.0
Aleksei Kruchenykh	1913  170.0,109.0
Aleksei Kruchenykh	1916  220.0,328.0
Aleksei Kruchenykh	1916  227.0,325.0
Aleksei Kruchenykh	1910  216.0,175.0
Aleksei Kruchenykh	1913  145.0,107.0
Aleksei Kruchenykh	1912  186.0,145.0
Aleksei Kruchenykh	1917  221.0,333.0
Aleksei Kruchenykh	1917  213.0,334.0
Aleksei Kruchenykh	1917  240.0,370.0
Aleksei Kruchenykh	1917  242.0,370.0
Aleksei Kruchenykh	1918  185.0,304.0
Aleksei Kruchenykh	1916  209.0,295.0
Aleksei Kruchenykh	1916  210.0,290.0
Aleksei Kruchenykh	1916  209.0,300.0
Aleksei Kruchenykh	1916  225.0,295.0
Aleksei Kruchenykh	1916  210.0,295.0
